0字节	0位元組
打出吊入	打出弔入
打卡钟	打卡鐘
打吨	打吨
打干	打幹
打断发	打斷發
打卤	打滷
打谷	打穀
打钟	打鐘
打风后	打風後
打斗	打鬥
托管国	托管國
扯面	扯麵
扶余	扶餘
批准	批准
批准确定	批准確定
批复	批覆
批注	批註
批斗	批鬥
抑制	抑制
抑郁	抑鬱
抓奸	抓姦
抓斗	抓斗
抗御	抗禦
折子戏	折子戲
折子戲	折子戲
折戟沈河	折戟沈河
折冲	折衝
披榛采兰	披榛採蘭
披头散发	披頭散髮
披发	披髮
抱朴而长吟兮	抱朴而長吟兮
抱素怀朴	抱素懷樸
抵御	抵禦
抹干	抹乾
抽干	抽乾
抽公签	抽公籤
抽签	抽籤
抿发	抿髮
拂钟无声	拂鐘無聲
拆伙	拆夥
拈须	拈鬚
拉克施尔德钟	拉克施爾德鐘
拉纤	拉縴
拉面上	拉面上
拉面具	拉面具
拉面前	拉面前
拉面巾	拉面巾
拉面无	拉面無
拉面皮	拉面皮
拉面罩	拉面罩
拉面色	拉面色
拉面部	拉面部
拉面	拉麵
拌面	拌麵
拓朴	拓樸
拔发	拔髮
拔须	拔鬚
拗别	拗彆
拙朴	拙樸
拚舍	拚捨
拜托	拜託
拭干	拭乾
拮据	拮据
拳局	拳跼
拼斗	拼鬥
拾沈	拾瀋
拿不准	拿不準
拿准	拿準
拿破仑	拿破崙
挌斗	挌鬥
挑斗	挑鬥
捉奸徒	捉奸徒
捉奸细	捉奸細
捉奸贼	捉奸賊
捉奸党	捉奸黨
捉奸	捉姦
捍御	捍禦
捏面人	捏麵人
舍不得	捨不得
舍入	捨入
舍出	捨出
舍去	捨去
舍命	捨命
舍堕	捨墮
舍安就危	捨安就危
舍实	捨實
舍己从人	捨己從人
舍己救人	捨己救人
舍己为人	捨己為人
舍己为公	捨己為公
舍己为国	捨己為國
舍得	捨得
舍我其谁	捨我其誰
舍本逐末	捨本逐末
舍弃	捨棄
舍死忘生	捨死忘生
舍生	捨生
舍短取长	捨短取長
舍身	捨身
舍车保帅	捨車保帥
舍近求远	捨近求遠
卷住	捲住
卷来	捲來
卷儿	捲兒
卷入	捲入
卷动	捲動
卷去	捲去
卷图	捲圖
卷土重来	捲土重來
卷地	捲地
卷尺	捲尺
卷尾猴	捲尾猴
卷心菜	捲心菜
卷成	捲成
卷曲	捲曲
卷款	捲款
卷毛	捲毛
卷烟盒	捲煙盒
卷瓣	捲瓣
卷积云	捲積雲
卷筒	捲筒
卷帘	捲簾
卷纸	捲紙
卷缩	捲縮
卷舌	捲舌
卷叶蛾	捲葉蛾
卷袖	捲袖
卷走	捲走
卷起	捲起
卷轴	捲軸
卷逃	捲逃
卷铺盖	捲鋪蓋
卷云	捲雲
卷风	捲風
卷发	捲髮
捵面	捵麵
捶炼	捶鍊
扫荡	掃蕩
授勋	授勳
授时历	授時曆
掌柜	掌柜
排干	排乾
排干部	排幹部
排骨面	排骨麵
挂名	掛名
挂历	掛曆
挂钩	掛鈎
挂面	掛麵
采下	採下
采伐	採伐
采住	採住
采信	採信
采光	採光
采到	採到
采制	採制
采区	採區
采去	採去
采取	採取
采回	採回
采在	採在
采好	採好
采得	採得
采拾	採拾
采挖	採挖
采掘	採掘
采摘	採摘
采摭	採摭
采择	採擇
采撷	採擷
采收	採收
采料	採料
采暖	採暖
采桑	採桑
采棉	採棉
采样	採樣
采樵人	採樵人
采树种	採樹種
采气	採氣
采油	採油
采为	採為
采煤	採煤
采获	採獲
采猎	採獵
采珠	採珠
采生折割	採生折割
采用	採用
采石	採石
采砂	採砂
采矿	採礦
采种	採種
采空区	採空區
采空采穗	採空採穗
采纳	採納
采给	採給
采编	採編
采花	採花
采芹人	採芹人
采茶	採茶
采菊	採菊
采莲	採蓮
采薇	採薇
采薪	採薪
采药	採藥
采血	採血
采行	採行
采补	採補
采访	採訪
采证	採證
采买	採買
采购	採購
采办	採辦
采运	採運
采过	採過
采选	採選
采金	採金
采录	採錄
采铁	採鐵
采集	採集
采风	採風
采风问俗	採風問俗
采食	採食
采盐	採鹽
掣签	掣籤
控制	控制
推情准理	推情準理
推托之词	推托之詞
推托	推託
提子干	提子乾
提心吊胆	提心弔膽
提摩太后书	提摩太後書
提高后	提高後
换只	換隻
握发	握髮
揩干	揩乾
揪采	揪採
揪发	揪髮
揪须	揪鬚
揭丑	揭醜
挥手表	揮手表
揮手表	揮手表
搋面	搋麵
搏斗	搏鬥
捣鬼吊白	搗鬼弔白
扼肮	搤肮
搤肮	搤肮
扼肮拊背	搤肮拊背
搬斗	搬鬥
搭干铺	搭乾鋪
搭伙	搭夥
抢注	搶註
摧坚获丑	摧堅獲醜
摭采	摭採
摸棱	摸稜
摸钟	摸鐘
折奏	摺奏
折子	摺子
折尺	摺尺
折扇	摺扇
折梯	摺梯
折椅	摺椅
折台	摺檯
折叠	摺疊
折痕	摺痕
折篷	摺篷
折纸	摺紙
折裙	摺裙
撇吊	撇弔
捞干	撈乾
捞面	撈麵
撚须	撚鬚
撞钟	撞鐘
撞阵冲军	撞陣衝軍
撤并	撤併
拨谷	撥穀
撩斗	撩鬥
扑冬	撲鼕
扑咚	撲鼕
扑咚咚	撲鼕鼕
擀面	擀麵
击扑	擊扑
擊扑	擊扑
击钟	擊鐘
操作钟	操作鐘
担仔面	擔仔麵
担担面	擔擔麵
据云	據云
擢发	擢髮
擦干	擦乾
拧干	擰乾
摆钟	擺鐘
摄制	攝製
支干	支幹
支配欲	支配慾
收回	收回
收获	收穫
改制成	改制成
改征	改徵
改采	改採
放懞挣	放懞掙
放荡	放蕩
放松	放鬆
政斗	政鬥
故云	故云
教学钟	教學鐘
教范	教範
敢干、	敢幹、
敢干的	敢幹的
敢干，	敢幹，
敢情欲	敢情欲
散伙	散夥
散荡	散蕩
敦朴	敦樸
敬挽	敬輓
敲扑	敲扑
敲钟	敲鐘
整只	整隻
整风后	整風後
整发用品	整髮用品
整出剧	整齣劇
整出戏	整齣戲
整出电影	整齣電影
敌忾同仇	敵愾同讎
数只包括	數只包括
数只可	數只可
数只含	數只含
数只在	數只在
数只应	數只應
数只是	數只是
数只会	數只會
数只有	數只有
数只比	數只比
数只能	數只能
数只限	數只限
数只需	數只需
数只须	數只須
数天后	數天後
数字钟	數字鐘
数字钟表	數字鐘錶
数罪并罚	數罪併罰
数只	數隻
文丑	文丑
文学志	文學誌
文征明	文徵明
文思泉涌	文思泉湧
文杰	文杰
文采郁郁	文采郁郁
斗法会	斗法會
斗牛星	斗牛星
斫雕为朴	斫雕為樸
新井里美	新井里美
新干县	新幹縣
新庄子	新庄子
新历	新曆
新历史	新歷史
新扎	新紮
斲雕为朴	斲雕為樸
断发现	斷發現
断发	斷髮
断发文身	斷髮文身
方便面	方便麵
方向	方向
方法里	方法裡
于吉林	於吉林
于吉尔吉斯	於吉爾吉斯
于吉隆坡	於吉隆坡
于敏感	於敏感
于格林	於格林
于格陵兰	於格陵蘭
于格鲁	於格魯
于波特	於波特
于禁止	於禁止
于越南	於越南
于越过	於越過
于震中	於震中
于震前	於震前
于震区	於震區
于震度	於震度
于震后	於震後
于震灾	於震災
施舍	施捨
施舍之道	施舍之道
旁征博引	旁徵博引
旁注	旁註
旅游	旅遊
旋回	旋迴
旋松	旋鬆
族里	族裡
日心历表	日心曆表
日历	日曆
日历史	日歷史
日里	日裡
日志	日誌
旱干	旱乾
升州	昇州
升平	昇平
升阳	昇陽
昊天不吊	昊天不弔
明征	明徵
明目张胆	明目張胆
明窗净几	明窗淨几
明范	明範
明鉴	明鑑
昔人有云	昔人有云
星历	星曆
星期后	星期後
星历史	星歷史
星露谷物语	星露谷物語
春游	春遊
春香斗学	春香鬥學
昭惠后	昭惠后
是发小	是髮小
时代里	時代裡
时钟	時鐘
时间不准	時間不準
晃荡	晃蕩
晚钟	晚鐘
晞发	晞髮
晨钟	晨鐘
普咚咚	普鼕鼕
晾干	晾乾
暗地里	暗地裡
暗沟里	暗溝裡
暗里	暗裡
暗斗	暗鬥
畅游	暢遊
昵称	暱稱
暴敛横征	暴斂橫徵
历元	曆元
历命	曆命
历始	曆始
历室	曆室
历尾	曆尾
历局	曆局
历数书	曆數書
历日	曆日
历书	曆書
历本	曆本
历法	曆法
历狱	曆獄
历纪	曆紀
历象	曆象
晒干	曬乾
晒谷	曬穀
曰云	曰云
更仆难数	更僕難數
更钟情	更鍾情
更钟意	更鍾意
更钟爱	更鍾愛
更钟	更鐘
书签	書籤
书面	書面
曹子里	曹子里
曹廷杰	曹廷杰
曼谷	曼谷
曾朴	曾樸
最多	最多
最多只	最多只
会干扰	會干擾
會干擾	會干擾
会干	會幹
会吊	會弔
会里	會裡
月历	月曆
月历史	月歷史
月球历表	月球曆表
月里来	月裡來
月面	月面
有事之无范	有事之無範
有仆	有僕
有只不	有只不
有只允	有只允
有只容	有只容
有只採	有只採
有只采	有只採
有只是	有只是
有只用	有只用
有只能	有只能
有回复	有回覆
有够赞	有夠讚
有征伐	有征伐
有征战	有征戰
有征戰	有征戰
有征服	有征服
有征討	有征討
有征讨	有征討
有征	有徵
有恒街	有恒街
有栖	有栖
有准	有準
有棱有角	有稜有角
有只	有隻
有余	有餘
有发头陀寺	有髮頭陀寺
望了望	望了望
望后石	望后石
朝钟	朝鐘
朝鲜于	朝鮮於
朦胧	朦朧
蒙胧	朦朧
木偶戏扎	木偶戲紮
木材干馏	木材乾餾
木梁	木樑
木签	木籤
木制	木製
木钟	木鐘
未干	未乾
未干涉	未干涉
未干預	未干預
未干预	未干預
本庄	本庄
本征	本徵
本出戏	本齣戲
术忽	朮忽
术虎高	朮虎高
术赤	朮赤
朱庆余	朱慶餘
朱理安历	朱理安曆
朱理安历史	朱理安歷史
朴子里	朴子里
李志喜	李志喜
李适	李适
李连杰	李連杰
李連杰	李連杰
材干	材幹
村落发	村落發
村里有	村裡有
村里的	村裡的
杜琪峰	杜琪峯
杜老志道	杜老誌道
杞宋无征	杞宋無徵
束发	束髮
杠人	杠人
杠梁	杠梁
杠毂	杠轂
杠轂	杠轂
杯干	杯乾
杯面	杯麵
杰伦	杰倫
杰倫	杰倫
杰威尔	杰威爾
杰威爾	杰威爾
东周钟	東周鐘
东岳	東嶽
東湖里	東湖里
东冲西突	東衝西突
东游	東遊
松口蘑	松口蘑
松口镇	松口鎮
松山庄	松山庄
松溪县	松谿縣
松开始	松開始
板荡	板蕩
林宏岳	林宏嶽
林杰樑	林杰樑
林郁方	林郁方
林钟	林鐘
林鹅峰	林鵞峰
果干	果乾
果子干	果子乾
果累累	果纍纍
枝干	枝幹
枯干	枯乾
架钟	架鐘
某只	某隻
染殿后	染殿后
染发生	染發生
染发	染髮
柜上	柜上
柜子	柜子
柜柳	柜柳
查封后	查封後
柳斌杰	柳斌杰
柳诒征	柳詒徵
栗栖	栗栖
校准	校準
校舍	校舍
核准	核准
格范	格範
格里历	格里曆
格里高利历	格里高利曆
格斗	格鬥
桂圆干	桂圓乾
框里	框裡
桌几	桌几
桌历	桌曆
桌历史	桌歷史
桌游	桌遊
桑干	桑乾
杆枪	桿槍
杆秤	桿秤
杆菌	桿菌
梁凌杰	梁凌杰
梁启超	梁啓超
条文里	條文裡
梨干	梨乾
梯冲	梯衝
械系	械繫
械斗	械鬥
弃舍	棄捨
棉里	棉裡
棉制	棉製
棒子面	棒子麵
棫朴	棫樸
森林里	森林裡
棺材里	棺材裡
植发	植髮
椒面	椒麵
椰枣干	椰棗乾
杨雅筑	楊雅筑
楊雅筑	楊雅筑
桢干	楨幹
业余	業餘
榨干	榨乾
枪杆	槍桿
杠杆	槓桿
乐器钟	樂器鐘
乐游原	樂遊原
樗里子	樗里子
标标致致	標標致致
标准	標準
标签	標籤
标致	標緻
标注	標註
标志	標誌
模棱	模稜
模范	模範
模范七棒	模范七棒
模范三军	模范三軍
模范三軍	模范三軍
模范棒棒堂	模范棒棒堂
模制	模製
样范	樣範
樵采	樵採
朴修斯	樸修斯
朴厚	樸厚
朴学	樸學
朴实	樸實
朴念仁	樸念仁
朴拙	樸拙
朴樕	樸樕
朴父	樸父
朴直	樸直
朴素	樸素
朴茨茅斯	樸茨茅斯
朴讷	樸訥
朴质	樸質
朴鄙	樸鄙
朴重	樸重
朴野	樸野
朴钝	樸鈍
朴陋	樸陋
朴马	樸馬
朴鲁	樸魯
树干	樹幹
树林里	樹林裡
机械系	機械系
機械系	機械系
机械表	機械錶
机械钟	機械鐘
机械钟表	機械鐘錶
横亘	橫亙
横峰县	橫峯縣
横征暴敛	橫徵暴斂
横冲	橫衝
台历	檯曆
台灯	檯燈
台面上	檯面上
台面化	檯面化
柜台	櫃檯
柜里	櫃裡
栉发工	櫛髮工
权斗	權鬥
欲海难填	欲海難填
欺蒙	欺矇
歌后	歌后
歌钟	歌鐘
欧游	歐遊
正官庄	正官庄
正文里	正文裡
正杰	正杰
武丑	武丑
武后	武后
武斗	武鬥
岁聿云暮	歲聿云暮
歲聿云暮	歲聿云暮
历史里	歷史裡
归并	歸併
归余	歸餘
歹斗	歹鬥
死里求生	死裡求生
死里逃生	死裡逃生
殖谷	殖穀
残余	殘餘
僵尸	殭屍
殷师牛斗	殷師牛鬥
殷鉴	殷鑑
壳里	殼裡
殿里	殿裡
殿钟自鸣	殿鐘自鳴
毁钟为铎	毀鐘為鐸
殴斗	毆鬥
母后	母后
母范	母範
母丑	母醜
每每只	每每只
每只	每隻
毗婆尸佛	毗婆尸佛
毛坏	毛坏
毛姜	毛薑
毛发	毛髮
毫厘	毫釐
毫发	毫髮
气冲斗牛	氣沖斗牛
气郁	氣鬱
氤郁	氤鬱
水并流	水併流
水来汤里去	水來湯裡去
水准	水準
水表示	水表示
水表面	水表面
水里	水裡
水里商工	水里商工
水里溪	水里溪
水里濁水溪	水里濁水溪
水里鄉	水里鄉
水里高級商工	水里高級商工
水里鳳林	水里鳳林
水表	水錶
永历	永曆
永历史	永歷史
永志不忘	永誌不忘
求知欲	求知慾
求签	求籤
江并流	江併流
池里	池裡
污蔑	污衊
汤卤	汤滷
汤滷	汤滷
决斗	決鬥
沈淀	沈澱
沈郁	沈鬱
沉淀	沉澱
沉郁	沉鬱
没干没净	沒乾沒淨
没事干	沒事幹
没干	沒幹
没折至	沒摺至
没样范	沒樣範
没准	沒準
冲冠发怒	沖冠髮怒
冲天	沖天
沙坪坝	沙坪垻
沙琅	沙瑯
沙羡	沙羡
沙里淘金	沙裡淘金
河岳	河嶽
河里	河裡
油泼面	油潑麵
油斗	油鬥
油面	油麵
治愈	治癒
沿溯	沿泝
法自制	法自制
法里，	法裡，
泛游	泛遊
泡制	泡製
泡面	泡麵
波棱菜	波稜菜
波发藻	波髮藻
注云	注云
注释	注釋
泱郁	泱鬱
泳气钟	泳氣鐘
洋河大曲	洋河大麯
洒家	洒家
洒淅	洒淅
洒濯	洒濯
洒然	洒然
洗炼	洗鍊
洗练	洗鍊
洗发	洗髮
洛钟东应	洛鐘東應
洞里	洞裡
洞里萨	洞里薩
洞里薩	洞里薩
泄欲	洩慾
洪范	洪範
洪谷子	洪谷子
洪适	洪适
洪钟	洪鐘
汹涌	洶湧
流征	流徵
流荡	流蕩
流风余俗	流風餘俗
流风余韵	流風餘韻
浩浩荡荡	浩浩蕩蕩
浩荡	浩蕩
浪荡	浪蕩
浪游	浪遊
浮荡	浮蕩
浮夸	浮誇
浮松	浮鬆
海干	海乾
海淀山后	海淀山後
海淀山後	海淀山後
浸卤	浸滷
涂善妮	涂善妮
涂坤	涂坤
涂壮勋	涂壯勳
涂壯勳	涂壯勳
涂天相	涂天相
涂姓	涂姓
涂序瑄	涂序瑄
涂敏恆	涂敏恆
涂敏恒	涂敏恆
涂泽民	涂澤民
涂澤民	涂澤民
涂尔干	涂爾幹
涂爾幹	涂爾幹
涂紹煃	涂紹煃
涂绍煃	涂紹煃
涂羽卿	涂羽卿
涂謹申	涂謹申
涂谨申	涂謹申
涂逢年	涂逢年
涂醒哲	涂醒哲
涂長望	涂長望
涂长望	涂長望
涂鴻欽	涂鴻欽
涂鸿钦	涂鴻欽
涌水塘	涌水塘
涳蒙	涳濛
涸干	涸乾
凉席	涼蓆
凉面	涼麵
淋余土	淋餘土
淑范	淑範
泪干	淚乾
泪如泉涌	淚如泉湧
淡蒙蒙	淡濛濛
净余	淨餘
净发	淨髮
淫欲	淫慾
淫荡	淫蕩
淬炼	淬鍊
深山何处钟	深山何處鐘
深山里	深山裡
淳于	淳于
淳朴	淳樸
渊淳岳峙	淵淳嶽峙
渊里	淵裡
浅淀	淺澱
清心寡欲	清心寡欲
渠冲	渠衝
温岚	温嵐
温嵐	温嵐
测不准	測不準
港制度	港制度
港制	港製
游离	游離
浑朴	渾樸
浑个	渾箇
湖南岳阳	湖南岳陽
湖里	湖裡
湖里区	湖里區
湘累	湘纍
涌上	湧上
涌来	湧來
涌入	湧入
涌出	湧出
涌向	湧向
涌水	湧水
涌泉	湧泉
涌现	湧現
涌起	湧起
涌进	湧進
湮郁	湮鬱
汤下面	湯下麵
汤团	湯糰
汤面	湯麵
准不准	準不準
准例	準例
准保	準保
准备	準備
准儿	準兒
准分子	準分子
准则	準則
准噶尔	準噶爾
准定	準定
准平原	準平原
准度	準度
准式	準式
准拿督	準拿督
准据	準據
准拟	準擬
准新娘	準新娘
准新郎	準新郎
准星	準星
准是	準是
准时	準時
准会	準會
准格尔	準格爾
准决赛	準決賽
准的	準的
准直	準直
准确	準確
准线	準線
准绳	準繩
准话	準話
准谱	準譜
准货币	準貨幣
准军事	準軍事
准头	準頭
准点	準點
沟大曲	溝大麯
沟谷	溝谷
溟蒙	溟濛
温洛克期	溫洛克期
溲面	溲麵
滃郁	滃鬱
滑借	滑藉
汇丰	滙豐
渗漓	滲灕
卤了	滷了
卤五花	滷五花
卤味	滷味
卤好	滷好
卤子	滷子
卤料	滷料
卤水	滷水
卤汁	滷汁
卤湖	滷湖
卤煮	滷煮
卤牛	滷牛
卤的	滷的
卤肉	滷肉
卤菜	滷菜
卤蛋	滷蛋
卤虾	滷蝦
卤制	滷製
卤豆	滷豆
卤鸡	滷雞
卤鸭	滷鴨
卤鹅	滷鵝
卤面	滷麵
满满当当	滿滿當當
满头洋发	滿頭洋髮
漂荡	漂蕩
漕挽	漕輓
沤郁	漚鬱
漠里	漠裡
汉弥登钟	漢彌登鐘
漫卷	漫捲
漫游	漫遊
潜意识里	潛意識裡
潜水表	潛水錶
潜水钟	潛水鐘
潜水钟表	潛水鐘錶
潭里	潭裡
潮涌	潮湧
涩谷区	澀谷區
澄江县	澂江縣
澄澹精致	澄澹精致
澒蒙	澒濛
淀山	澱山
淀浦	澱浦
淀淀	澱澱
淀积	澱積
淀粉	澱粉
淀解物	澱解物
淀谓之滓	澱謂之滓
澹台	澹臺
澹荡	澹蕩
激斗	激鬥
浓发	濃髮
蒙汜	濛汜
蒙蒙细雨	濛濛細雨
蒙雾	濛霧
蒙松雨	濛鬆雨
蒙鸿	濛鴻
浚州	濬州
浚县	濬縣
滨田里佳子	濱田里佳子
沈丹客运	瀋丹客運
沈丹线	瀋丹線
沈丹铁路	瀋丹鐵路
沈丹高	瀋丹高
沈北	瀋北
沈吉	瀋吉
沈大线	瀋大線
沈大铁路	瀋大鐵路
沈大高速	瀋大高速
沈山线	瀋山線
沈山铁路	瀋山鐵路
沈州	瀋州
沈抚	瀋撫
沈水	瀋水
沈河	瀋河
沈海铁路	瀋海鐵路
沈海高速	瀋海高速
沈阳	瀋陽
泸州大曲	瀘州大麯
沥干	瀝乾
弥山遍野	瀰山遍野
弥漫	瀰漫
弥弥	瀰瀰
漓水	灕水
漓江	灕江
漓湘	灕湘
漓然	灕然
滩涂	灘涂
灘涂	灘涂
滩席	灘蓆
火并非	火並非
火并	火併
火山里	火山裡
火折子	火摺子
火签	火籤
灰蒙	灰濛
灰蒙蒙	灰濛濛
炆面	炆麵
炒面	炒麵
炮制	炮製
炸酱面	炸醬麵
为帝后，	為帝後，
为准	為準
为鉴	為鑑
乌兹冲锋枪	烏茲衝鋒槍
乌苏里	烏蘇里
乌发	烏髮
乌龙面	烏龍麵
烘干	烘乾
烘制	烘製
烤干	烤乾
烤卤	烤滷
烹制	烹製
焙干	焙乾
无征不信	無徵不信
无业游民	無業游民
无余	無餘
炼制	煉製
煎面	煎麵
烟台	煙臺
照入签	照入籤
照相干片	照相乾片
煨干	煨乾
煮制	煮製
煮面	煮麵
熊杰	熊杰
荧郁	熒鬱
熬制	熬製
炖制	燉製
燎发	燎髮
烧干	燒乾
燕几	燕几
燕游	燕遊
烫一个发	燙一個髮
烫一次发	燙一次髮
烫个发	燙個髮
烫完发	燙完髮
烫次发	燙次髮
烫发	燙髮
烫面	燙麵
营干	營幹
烩面	燴麵
烬余	燼餘
爆发	爆發
争奇斗妍	爭奇鬥妍
争奇斗异	爭奇鬥異
争奇斗艳	爭奇鬥豔
争妍斗奇	爭妍鬥奇
争妍斗艳	爭妍鬥豔
争红斗紫	爭紅鬥紫
争斗	爭鬥
爰定祥历	爰定祥厤
爽荡	爽蕩
尔冬升	爾冬陞
墙里	牆裡
片里	片裡
片言只语	片言隻語
版图里	版圖裡
版本里	版本裡
牙签	牙籤
牛街庄	牛街莊
牛只	牛隻
牢里	牢裡
物欲	物慾
抵牾	牴牾
抵触	牴觸
特别致	特别致
特制住	特制住
特制定	特制定
特制止	特制止
特制订	特制訂
特征	特徵
特制	特製
牵一发	牽一髮
牵系	牽繫
犖确	犖确
荦确	犖确
狂并潮	狂併潮
狄志杰	狄志杰
狄那里克	狄那里克
狐借虎威	狐藉虎威
猛冲	猛衝
猜三划五	猜三划五
狱里	獄裡
奖杯	獎盃
独裁制	獨裁制
獨裁制	獨裁制
独辟蹊径	獨闢蹊徑
获匪其丑	獲匪其醜
兽欲	獸慾
献丑	獻醜
玉历	玉曆
玉历史	玉歷史
玉米面	玉米面
王侯后	王侯后
王后	王后
王添灯	王添灯
王田里	王田里
王鉴	王鑑
王余鱼	王餘魚
珍肴	珍餚
班里	班裡
球台	球檯
理一个发	理一個髮
理一次发	理一次髮
理个发	理個髮
理完发	理完髮
理次发	理次髮
理发动	理發動
理发展	理發展
理发放	理發放
理发现	理發現
理发生	理發生
理发表	理發表
理发	理髮
琴钟	琴鐘
珐琅	琺瑯
瑞城里	瑞城里
瑞征	瑞徵
瑶签	瑤籤
环游	環遊
瓷制	瓷製
甄后	甄后
瓮安	甕安
甜、咸	甜、鹹
甜水面	甜水麵
甜咸	甜鹹
甜面酱	甜麵醬
生力面	生力麵
生物钟	生物鐘
生华发	生華髮
生姜	生薑
生发剂	生髮劑
生发水	生髮水
生发油	生髮油
生发液	生髮液
生发药	生髮藥
苏醒	甦醒
用法里	用法裡
甩发	甩髮
田子里	田子里
田庄英雄	田庄英雄
田里	田裡
田里穗	田里穗
由余	由余
甲胄	甲冑
甲后路	甲后路
男仆	男僕
界里	界裡
留发展	留發展
留发生	留發生
留发行	留發行
留长发	留長髮
留发	留髮
画里	畫裡
当准	當準
当当丁丁	當當丁丁
当当网	當當網
叠席	疊蓆
疏松	疏鬆
疑凶	疑兇
疲困	疲睏
病征	病徵
病愈	病癒
病余	病餘
痊愈	痊癒
痒疹	痒疹
痒痒	痒痒
痳木	痳木
痳疹	痳疹
痳病	痳病
痳痹	痳痺
痳疯	痳瘋
愈合	癒合
症结	癥結
癸丑	癸丑
发干	發乾
发状态	發狀態
发状况	發狀況
发签	發籤
发表	發表
发松	發鬆
发面	發麵
白干儿	白乾兒
白术	白朮
白朴	白樸
白净面皮	白淨面皮
白发其事	白發其事
白皮松	白皮松
白粉面	白粉麵
白里透红	白裡透紅
白面包青天	白面包青天
白发	白髮
白霉	白黴
百个	百個
百只可	百只可
百只够	百只夠
百只夠	百只夠
百只怕	百只怕
百只足够	百只足夠
百只足夠	百只足夠
百周后	百周後
百天后	百天後
百子里	百子里
百拙千丑	百拙千醜
百科里	百科裡
百谷	百穀
百扎	百紮
百花历	百花曆
百花历史	百花歷史
百炼	百鍊
百只	百隻
百余	百餘
的回复	的回覆
的图里	的圖裡
的山里	的山裡
的干将	的幹將
的个中	的箇中
的钟	的鐘
的长发	的長髮
的发小	的髮小
皆可作淀	皆可作澱
皆准	皆準
皇后	皇后
皇历	皇曆
皇极历	皇極曆
皇极历史	皇極歷史
皇历史	皇歷史
皓发	皓髮
皮制服	皮制服
皮托管	皮托管
皮肤	皮膚
皮里春秋	皮裡春秋
皮里阳秋	皮裡陽秋
皮制	皮製
皮松	皮鬆
皱折	皺摺
盆吊	盆弔
盈余	盈餘
盒里	盒裡
盛赞	盛讚
盗采	盜採
盗钟	盜鐘
监制	監製
盘里	盤裡
盘回	盤迴
卢棱伽	盧稜伽
荡气回肠	盪氣迴腸
盲干	盲幹
直冲	直衝
相并	相併
相克制	相克制
相克服	相克服
相克	相剋
相干	相干
相冲	相衝
相斗	相鬥
盼复	盼覆
看法里	看法裡
看准	看準
看钟	看鐘
真凶	真兇
真个	真箇
真丑	真醜
眼干	眼乾
眼帘	眼帘
眼眶里	眼眶裡
眼睛里	眼睛裡
眼里	眼裡
困乏	睏乏
困倦	睏倦
困觉	睏覺
睡游病	睡遊病
瞄准	瞄準
瞎蒙	瞎矇
了望	瞭望
了然	瞭然
了若指掌	瞭若指掌
瞳蒙	瞳矇
蒙事	矇事
蒙昧无知	矇昧無知
蒙混	矇混
蒙瞍	矇瞍
蒙眬	矇矓
蒙聩	矇聵
蒙头转	矇頭轉
蒙骗	矇騙
瞩托	矚託
矜夸	矜誇
短发生	短發生
短发	短髮
短须	短鬚
矮几	矮几
石几	石几
石杠	石杠
石梁	石樑
石英钟	石英鐘
石英钟表	石英鐘錶
石钟	石鐘
研制	研製
砰当	砰噹
破鉴	破鑑
朱卷	硃卷
朱批	硃批
朱砂	硃砂
朱笔	硃筆
朱谕	硃諭
硬干	硬幹
确瘠	确瘠
碑志	碑誌
碗里	碗裡
碧河里	碧河里
碰钟	碰鐘
确系	確係
码码表	碼碼表
码表示	碼表示
码表	碼錶
磁制	磁製
磨蝎	磨蝎
磨制	磨製
磨炼	磨鍊
磨面	磨麵
磬钟	磬鐘
硗确	磽确
磽确	磽确
砻谷	礱穀
示范	示範
社里	社裡
祝赞	祝讚
祝发	祝髮
神奈川冲浪里	神奈川沖浪裏
神荼郁垒	神荼鬱壘
神游	神遊
神雕像	神雕像
神雕	神鵰
祭吊	祭弔
禁欲	禁慾
禁欲主义	禁欲主義
御侮	禦侮
御寇	禦寇
御寒	禦寒
御敌	禦敵
礼赞	禮讚
禾谷	禾穀
秃妃之发	禿妃之髮
秃发	禿髮
秀发动	秀發動
秀发展	秀發展
秀发布	秀發布
秀发村	秀發村
秀发现	秀發現
秀发生	秀發生
秀发表	秀發表
秀发起	秀發起
秀发	秀髮
私下里	私下裡
私欲	私慾
私斗	私鬥
秋游	秋遊
种丹妮	种丹妮
种师中	种師中
种師中	种師中
种师道	种師道
种師道	种師道
种放	种放
科尼亚克期	科尼亞克期
科斗	科斗
科范	科範
秒表明	秒表明
秒表示	秒表示
秒钟	秒鐘
秤杆	秤桿
秦沈客运	秦瀋客運
稀松	稀鬆
程十发	程十髮
棱台	稜台
棱子	稜子
棱层	稜層
棱柱	稜柱
棱登	稜登
棱棱	稜稜
棱等登	稜等登
棱线	稜線
棱缝	稜縫
棱角	稜角
棱锥	稜錐
棱镜	稜鏡
棱体	稜體
种谷	種穀
称帝后	稱帝後
称赞	稱讚
稻谷	稻穀
稽征	稽徵
谷保家商	穀保家商
谷仓	穀倉
谷圭	穀圭
谷城县	穀城縣
谷场	穀場
谷子	穀子
谷日	穀日
谷旦	穀旦
谷梁	穀梁
谷壳	穀殼
谷氨	穀氨
谷物	穀物
谷皮	穀皮
谷神	穀神
谷禄	穀祿
谷米	穀米
谷粒	穀粒
谷精草	穀精草
